Frame:0.419 Mvs_record:0.133 Pts_num:3401.000 Pts_num_r:19807.000 Ransac:0.010 Render:0.005 Render_mp:1.148 Track_img:0.063 Vio_f2f:0.007 Vio_f2m:0.004 Wait:0.002 
Frame:0.345 Mvs_record:0.100 Pts_num:3401.000 Pts_num_r:19596.000 Ransac:0.007 Render:0.005 Render_mp:1.625 Track_img:0.069 Vio_f2f:0.006 Vio_f2m:0.004 Wait:0.001 
Frame:0.397 Mvs_record:0.099 Pts_num:3544.000 Pts_num_r:17491.000 Ransac:0.009 Render:0.008 Render_mp:1.059 Track_img:0.045 Vio_f2f:0.011 Vio_f2m:0.004 Wait:22.309 
Frame:0.930 Mvs_record:0.318 Pts_num:3544.000 Pts_num_r:17491.000 Ransac:0.020 Render:0.020 Render_mp:1.059 Track_img:0.237 Vio_f2f:0.016 Vio_f2m:0.010 Wait:0.004 
Frame:1.416 Mvs_record:0.174 Pts_num:3544.000 Pts_num_r:20849.000 Ransac:0.013 Render:0.008 Render_mp:1.663 Track_img:0.117 Vio_f2f:0.866 Vio_f2m:0.003 Wait:0.002 
Frame:0.400 Mvs_record:0.111 Pts_num:3657.000 Pts_num_r:18427.000 Ransac:0.007 Render:0.007 Render_mp:0.860 Track_img:0.041 Vio_f2f:0.008 Vio_f2m:0.003 Wait:11.989 
Frame:0.399 Mvs_record:0.142 Pts_num:3657.000 Pts_num_r:22078.000 Ransac:0.009 Render:0.007 Render_mp:0.866 Track_img:0.063 Vio_f2f:0.007 Vio_f2m:0.004 Wait:0.002 
Frame:0.321 Mvs_record:0.103 Pts_num:3657.000 Pts_num_r:22056.000 Ransac:0.007 Render:0.004 Render_mp:0.787 Track_img:0.062 Vio_f2f:0.006 Vio_f2m:0.004 Wait:0.002 
Frame:0.414 Mvs_record:0.106 Pts_num:3636.000 Pts_num_r:19970.000 Ransac:0.010 Render:0.009 Render_mp:0.994 Track_img:0.046 Vio_f2f:0.010 Vio_f2m:0.005 Wait:40.744 
Frame:0.710 Mvs_record:0.245 Pts_num:3636.000 Pts_num_r:23274.000 Ransac:0.022 Render:0.010 Render_mp:1.445 Track_img:0.086 Vio_f2f:0.015 Vio_f2m:0.007 Wait:0.002 
Frame:0.368 Mvs_record:0.121 Pts_num:3636.000 Pts_num_r:23111.000 Ransac:0.008 Render:0.006 Render_mp:1.362 Track_img:0.062 Vio_f2f:0.007 Vio_f2m:0.004 Wait:0.001 
Frame:0.408 Mvs_record:0.112 Pts_num:3618.000 Pts_num_r:19895.000 Ransac:0.007 Render:0.007 Render_mp:0.953 Track_img:0.047 Vio_f2f:0.007 Vio_f2m:0.003 Wait:50.971 
Frame:0.355 Mvs_record:0.106 Pts_num:3618.000 Pts_num_r:23259.000 Ransac:0.009 Render:0.005 Render_mp:0.815 Track_img:0.063 Vio_f2f:0.007 Vio_f2m:0.004 Wait:0.002 
Frame:0.420 Mvs_record:0.134 Pts_num:3618.000 Pts_num_r:23198.000 Ransac:0.008 Render:0.009 Render_mp:0.963 Track_img:0.074 Vio_f2f:0.006 Vio_f2m:0.003 Wait:0.002 
Frame:0.398 Mvs_record:0.118 Pts_num:3729.000 Pts_num_r:20653.000 Ransac:0.009 Render:0.008 Render_mp:1.532 Track_img:0.042 Vio_f2f:0.007 Vio_f2m:0.003 Wait:50.338 
Frame:0.414 Mvs_record:0.156 Pts_num:3729.000 Pts_num_r:24390.000 Ransac:0.009 Render:0.006 Render_mp:0.968 Track_img:0.062 Vio_f2f:0.008 Vio_f2m:0.003 Wait:0.001 
